Any,Categoria_Nivell,Dia,DiaDeLaSetmana,Hora,Id,Latitud,Lloc_interes,Id_Instal,Longitud,Max_Nivell_LAeq_1h,Mes,Min_Nivell_LAeq_1h,Nivell_LAeq_1h
2023,1,1,dimecres,1899-12-30 05:00:00,5676,"41,404484",Sagrada Familia,6756,"2,174691",91.4,3,46.5,50.6
2023,1,1,dissabte,1899-12-30 04:00:00,17091,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,7,43.7,48.5
2023,1,1,divendres,1899-12-30 03:00:00,22956,"41,404484",Sagrada Familia,6756,"2,174691",91.4,9,46.5,50.9
2023,1,1,divendres,1899-12-30 03:00:00,31182,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,12,43.7,48.5
2023,1,1,divendres,1899-12-30 04:00:00,22961,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,9,43.7,47.9
2023,1,1,divendres,1899-12-30 04:00:00,22963,"41,404484",Sagrada Familia,6756,"2,174691",91.4,9,46.5,50.8
2023,1,1,divendres,1899-12-30 04:00:00,31187,"41,404484",Sagrada Familia,6756,"2,174691",91.4,12,46.5,49.2
2023,1,1,divendres,1899-12-30 04:00:00,31188,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,12,43.7,46
2023,1,2,dijous,1899-12-30 02:00:00,5760,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,3,60.1,62.3
2023,1,2,dijous,1899-12-30 02:00:00,28879,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,11,60.1,62.4
2023,1,2,dijous,1899-12-30 02:00:00,28881,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,11,43.7,48.6
2023,1,2,dijous,1899-12-30 03:00:00,3077,"41,404484",Sagrada Familia,6756,"2,174691",91.4,2,46.5,48.6
2023,1,2,dijous,1899-12-30 03:00:00,5761,"41,404484",Sagrada Familia,6756,"2,174691",91.4,3,46.5,48.2
2023,1,2,dijous,1899-12-30 03:00:00,5762,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,3,60.1,62.6
2023,1,2,dijous,1899-12-30 03:00:00,28883,"41,404484",Sagrada Familia,6756,"2,174691",91.4,11,46.5,48.2
2023,1,2,dijous,1899-12-30 03:00:00,28884,"41,406",Plaça de Joanic,7306,"2,162636",90.8,11,53.1,55.3
2023,1,2,dijous,1899-12-30 03:00:00,28885,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,11,43.7,48
2023,1,2,dijous,1899-12-30 04:00:00,3082,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,2,60.1,61.2
2023,1,2,dijous,1899-12-30 04:00:00,3084,"41,404484",Sagrada Familia,6756,"2,174691",91.4,2,46.5,48.5
2023,1,2,dijous,1899-12-30 04:00:00,5766,"41,404484",Sagrada Familia,6756,"2,174691",91.4,3,46.5,50.6
2023,1,2,dijous,1899-12-30 04:00:00,5767,"41,406",Plaça de Joanic,7306,"2,162636",90.8,3,53.1,55.7
2023,1,2,dijous,1899-12-30 04:00:00,5768,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,3,60.1,61.9
2023,1,2,dijous,1899-12-30 04:00:00,28887,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,11,60.1,60.3
2023,1,2,dijous,1899-12-30 04:00:00,28889,"41,406",Plaça de Joanic,7306,"2,162636",90.8,11,53.1,53.9
2023,1,2,dijous,1899-12-30 04:00:00,28890,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,11,43.7,47.7
2023,1,2,dilluns,1899-12-30 02:00:00,105,"41,404484",Sagrada Familia,6756,"2,174691",91.4,1,46.5,50.6
2023,1,2,dilluns,1899-12-30 03:00:00,109,"41,406",Plaça de Joanic,7306,"2,162636",90.8,1,53.1,55.8
2023,1,2,dilluns,1899-12-30 03:00:00,110,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,1,43.7,47.8
2023,1,2,dilluns,1899-12-30 03:00:00,111,"41,404484",Sagrada Familia,6756,"2,174691",91.4,1,46.5,47.6
2023,1,2,dilluns,1899-12-30 03:00:00,25911,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,10,43.7,46.7
2023,1,2,dilluns,1899-12-30 04:00:00,113,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,1,43.7,46.6
2023,1,2,dilluns,1899-12-30 04:00:00,114,"41,404484",Sagrada Familia,6756,"2,174691",91.4,1,46.5,49.7
2023,1,2,dilluns,1899-12-30 04:00:00,115,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,1,60.1,61.9
2023,1,2,dilluns,1899-12-30 04:00:00,116,"41,406",Plaça de Joanic,7306,"2,162636",90.8,1,53.1,54.4
2023,1,2,dilluns,1899-12-30 04:00:00,25913,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,10,60.1,62.4
2023,1,2,dilluns,1899-12-30 04:00:00,25914,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,10,43.7,48.5
2023,1,2,dimarts,1899-12-30 02:00:00,11322,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,5,43.7,48.5
2023,1,2,dimarts,1899-12-30 03:00:00,11328,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,5,43.7,47.7
2023,1,2,dimarts,1899-12-30 04:00:00,11330,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,5,43.7,48
2023,1,2,dimarts,1899-12-30 04:00:00,11331,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,5,60.1,62.8
2023,1,2,dimecres,1899-12-30 03:00:00,20126,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,8,60.1,62
2023,1,2,dimecres,1899-12-30 04:00:00,20131,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,8,43.7,48.2
2023,1,2,diumenge,1899-12-30 04:00:00,8527,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,4,60.1,62.5
2023,1,2,divendres,1899-12-30 03:00:00,14304,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,6,43.7,47.8
2023,1,3,dijous,1899-12-30 03:00:00,20222,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,8,43.7,47.8
2023,1,3,dijous,1899-12-30 04:00:00,20226,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,8,43.7,48.2
2023,1,3,dilluns,1899-12-30 02:00:00,8614,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,4,43.7,48.6
2023,1,3,dilluns,1899-12-30 02:00:00,8616,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,4,60.1,62.4
2023,1,3,dilluns,1899-12-30 03:00:00,8618,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,4,60.1,60.9
2023,1,3,dilluns,1899-12-30 03:00:00,8619,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,4,43.7,47.1
2023,1,3,dilluns,1899-12-30 03:00:00,17278,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,7,43.7,48
2023,1,3,dilluns,1899-12-30 03:00:00,17279,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,7,60.1,62.5
2023,1,3,dilluns,1899-12-30 04:00:00,8622,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,4,60.1,62
2023,1,3,dilluns,1899-12-30 04:00:00,8623,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,4,43.7,46.5
2023,1,3,dilluns,1899-12-30 04:00:00,8624,"41,404484",Sagrada Familia,6756,"2,174691",91.4,4,46.5,50.9
2023,1,3,dilluns,1899-12-30 04:00:00,17282,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,7,43.7,48.7
2023,1,3,dilluns,1899-12-30 04:00:00,17284,"41,404484",Sagrada Familia,6756,"2,174691",91.4,7,46.5,50.3
2023,1,3,dilluns,1899-12-30 05:00:00,8625,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,4,43.7,47.9
2023,1,3,dimarts,1899-12-30 03:00:00,207,"41,406",Plaça de Joanic,7306,"2,162636",90.8,1,53.1,56.1
2023,1,3,dimarts,1899-12-30 03:00:00,26004,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,10,60.1,62.5
2023,1,3,dimarts,1899-12-30 04:00:00,26009,"41,406",Plaça de Joanic,7306,"2,162636",90.8,10,53.1,55.9
2023,1,3,dimarts,1899-12-30 04:00:00,26011,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,10,43.7,46.8
2023,1,3,dimarts,1899-12-30 05:00:00,215,"41,404484",Sagrada Familia,6756,"2,174691",91.4,1,46.5,50.9
2023,1,3,dimecres,1899-12-30 02:00:00,11419,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,5,60.1,61.2
2023,1,3,dimecres,1899-12-30 03:00:00,11423,"41,406",Plaça de Joanic,7306,"2,162636",90.8,5,53.1,56.2
2023,1,3,dimecres,1899-12-30 04:00:00,11426,"41,406",Plaça de Joanic,7306,"2,162636",90.8,5,53.1,56.6
2023,1,3,dimecres,1899-12-30 04:00:00,11427,"41,404484",Sagrada Familia,6756,"2,174691",91.4,5,46.5,50.6
2023,1,3,dimecres,1899-12-30 04:00:00,11429,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,5,43.7,46.7
2023,1,3,diumenge,1899-12-30 04:00:00,31378,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,12,60.1,62.7
2023,1,3,diumenge,1899-12-30 05:00:00,23159,"41,404484",Sagrada Familia,6756,"2,174691",91.4,9,46.5,50.6
2023,1,3,divendres,1899-12-30 03:00:00,3174,"41,404484",Sagrada Familia,6756,"2,174691",91.4,2,46.5,50.8
2023,1,3,divendres,1899-12-30 03:00:00,3175,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,2,60.1,60.7
2023,1,3,divendres,1899-12-30 03:00:00,5857,"41,404484",Sagrada Familia,6756,"2,174691",91.4,3,46.5,50.2
2023,1,3,divendres,1899-12-30 04:00:00,3178,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,2,43.7,47.7
2023,1,3,divendres,1899-12-30 04:00:00,3179,"41,404484",Sagrada Familia,6756,"2,174691",91.4,2,46.5,49.5
2023,1,3,divendres,1899-12-30 04:00:00,5862,"41,404484",Sagrada Familia,6756,"2,174691",91.4,3,46.5,50.5
2023,1,3,divendres,1899-12-30 04:00:00,5864,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,3,43.7,47.9
2023,1,3,divendres,1899-12-30 04:00:00,28983,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,11,60.1,62.7
2023,1,3,divendres,1899-12-30 05:00:00,3184,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,2,43.7,48.1
2023,1,4,dijous,1899-12-30 03:00:00,11519,"41,404484",Sagrada Familia,6756,"2,174691",91.4,5,46.5,49.8
2023,1,4,dijous,1899-12-30 04:00:00,11523,"41,404484",Sagrada Familia,6756,"2,174691",91.4,5,46.5,50.7
2023,1,4,dilluns,1899-12-30 03:00:00,23246,"41,404484",Sagrada Familia,6756,"2,174691",91.4,9,46.5,50.3
2023,1,4,dilluns,1899-12-30 03:00:00,31471,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,12,43.7,46.7
2023,1,4,dilluns,1899-12-30 03:00:00,31473,"41,404484",Sagrada Familia,6756,"2,174691",91.4,12,46.5,50.8
2023,1,4,dilluns,1899-12-30 04:00:00,23248,"41,404484",Sagrada Familia,6756,"2,174691",91.4,9,46.5,48.9
2023,1,4,dilluns,1899-12-30 04:00:00,23249,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,9,60.1,62
2023,1,4,dilluns,1899-12-30 04:00:00,23251,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,9,43.7,48.4
2023,1,4,dilluns,1899-12-30 04:00:00,31475,"41,404484",Sagrada Familia,6756,"2,174691",91.4,12,46.5,50.7
2023,1,4,dilluns,1899-12-30 04:00:00,31476,"41,406",Plaça de Joanic,7306,"2,162636",90.8,12,53.1,55.6
2023,1,4,dilluns,1899-12-30 05:00:00,31479,"41,406",Plaça de Joanic,7306,"2,162636",90.8,12,53.1,56.4
2023,1,4,dilluns,1899-12-30 05:00:00,31480,"41,404484",Sagrada Familia,6756,"2,174691",91.4,12,46.5,50.2
2023,1,4,dilluns,1899-12-30 05:00:00,31481,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,12,43.7,47.6
2023,1,4,dimarts,1899-12-30 02:00:00,8710,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,4,60.1,62.4
2023,1,4,dimarts,1899-12-30 03:00:00,8713,"41,406",Plaça de Joanic,7306,"2,162636",90.8,4,53.1,54.2
2023,1,4,dimarts,1899-12-30 04:00:00,8717,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,4,43.7,48.1
2023,1,4,dimarts,1899-12-30 04:00:00,8718,"41,406",Plaça de Joanic,7306,"2,162636",90.8,4,53.1,56.2
2023,1,4,dimarts,1899-12-30 04:00:00,17378,"41,404484",Sagrada Familia,6756,"2,174691",91.4,7,46.5,50.6
2023,1,4,dimarts,1899-12-30 04:00:00,17381,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,7,43.7,47.4
2023,1,4,dimecres,1899-12-30 02:00:00,26096,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,10,43.7,46.5
2023,1,4,dimecres,1899-12-30 03:00:00,301,"41,404484",Sagrada Familia,6756,"2,174691",91.4,1,46.5,48.4
2023,1,4,dimecres,1899-12-30 03:00:00,26102,"41,406",Plaça de Joanic,7306,"2,162636",90.8,10,53.1,55.5
2023,1,4,dimecres,1899-12-30 04:00:00,306,"41,404484",Sagrada Familia,6756,"2,174691",91.4,1,46.5,47.4
2023,1,4,dimecres,1899-12-30 04:00:00,308,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,1,43.7,47.9
2023,1,4,dimecres,1899-12-30 04:00:00,26105,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,10,60.1,60.6
2023,1,4,dissabte,1899-12-30 03:00:00,5955,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,3,43.7,48.4
2023,1,4,dissabte,1899-12-30 04:00:00,5960,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,3,43.7,48.3
2023,1,4,dissabte,1899-12-30 04:00:00,29079,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,11,43.7,48
2023,1,4,dissabte,1899-12-30 05:00:00,29086,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,11,43.7,48.8
2023,1,4,divendres,1899-12-30 03:00:00,20319,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,8,43.7,48
2023,1,5,dijous,1899-12-30 03:00:00,399,"41,404484",Sagrada Familia,6756,"2,174691",91.4,1,46.5,50.7
2023,1,5,dijous,1899-12-30 04:00:00,401,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,1,60.1,61.5
2023,1,5,dijous,1899-12-30 04:00:00,403,"41,404484",Sagrada Familia,6756,"2,174691",91.4,1,46.5,50.3
2023,1,5,dijous,1899-12-30 04:00:00,26200,"41,406",Plaça de Joanic,7306,"2,162636",90.8,10,53.1,56.6
2023,1,5,dijous,1899-12-30 04:00:00,26202,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,10,43.7,47.9
2023,1,5,dilluns,1899-12-30 03:00:00,14592,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,6,43.7,48.4
2023,1,5,dilluns,1899-12-30 04:00:00,14595,"41,404484",Sagrada Familia,6756,"2,174691",91.4,6,46.5,50.3
2023,1,5,dimarts,1899-12-30 01:00:00,31559,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,12,60.1,62.4
2023,1,5,dimarts,1899-12-30 03:00:00,23340,"41,404484",Sagrada Familia,6756,"2,174691",91.4,9,46.5,50.7
2023,1,5,dimarts,1899-12-30 03:00:00,31567,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,12,43.7,48.2
2023,1,5,dimarts,1899-12-30 04:00:00,23347,"41,404484",Sagrada Familia,6756,"2,174691",91.4,9,46.5,48
2023,1,5,dimarts,1899-12-30 04:00:00,31572,"41,406",Plaça de Joanic,7306,"2,162636",90.8,12,53.1,53.9
2023,1,5,dimarts,1899-12-30 05:00:00,31576,"41,406",Plaça de Joanic,7306,"2,162636",90.8,12,53.1,56.8
2023,1,5,dimecres,1899-12-30 01:00:00,8801,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,4,60.1,62.6
2023,1,5,dimecres,1899-12-30 02:00:00,8808,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,4,60.1,62
2023,1,5,dimecres,1899-12-30 04:00:00,8813,"41,406",Plaça de Joanic,7306,"2,162636",90.8,4,53.1,56.6
2023,1,5,dimecres,1899-12-30 04:00:00,8814,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,4,60.1,61.8
2023,1,5,dimecres,1899-12-30 04:00:00,8816,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,4,43.7,48.9
2023,1,5,dimecres,1899-12-30 04:00:00,17476,"41,406",Plaça de Joanic,7306,"2,162636",90.8,7,53.1,56.6
2023,1,5,dissabte,1899-12-30 05:00:00,20420,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,8,43.7,47.7
2023,1,5,diumenge,1899-12-30 04:00:00,3370,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,2,60.1,61.4
2023,1,5,diumenge,1899-12-30 05:00:00,3373,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,2,60.1,62.4
2023,1,5,diumenge,1899-12-30 05:00:00,3376,"41,404484",Sagrada Familia,6756,"2,174691",91.4,2,46.5,49.8
2023,1,5,diumenge,1899-12-30 05:00:00,29181,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,11,60.1,62.8
2023,1,5,diumenge,1899-12-30 06:00:00,29183,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,11,60.1,62.6
2023,1,5,divendres,1899-12-30 02:00:00,11613,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,5,43.7,48.8
2023,1,5,divendres,1899-12-30 04:00:00,11618,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,5,60.1,62.1
2023,1,5,divendres,1899-12-30 04:00:00,11619,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,5,43.7,48.5
2023,1,6,dijous,1899-12-30 03:00:00,8905,"41,406",Plaça de Joanic,7306,"2,162636",90.8,4,53.1,56.4
2023,1,6,dijous,1899-12-30 03:00:00,8907,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,4,43.7,48.2
2023,1,6,dijous,1899-12-30 03:00:00,17566,"41,404484",Sagrada Familia,6756,"2,174691",91.4,7,46.5,50.3
2023,1,6,dijous,1899-12-30 04:00:00,8909,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,4,60.1,61.9
2023,1,6,dijous,1899-12-30 04:00:00,17571,"41,404484",Sagrada Familia,6756,"2,174691",91.4,7,46.5,49.9
2023,1,6,dijous,1899-12-30 04:00:00,17572,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,7,43.7,47
2023,1,6,dilluns,1899-12-30 01:00:00,3455,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,2,60.1,62.4
2023,1,6,dilluns,1899-12-30 01:00:00,29259,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,11,60.1,62.2
2023,1,6,dilluns,1899-12-30 02:00:00,3457,"41,404484",Sagrada Familia,6756,"2,174691",91.4,2,46.5,49.2
2023,1,6,dilluns,1899-12-30 02:00:00,3459,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,2,43.7,48.8
2023,1,6,dilluns,1899-12-30 02:00:00,6144,"41,404484",Sagrada Familia,6756,"2,174691",91.4,3,46.5,50.8
2023,1,6,dilluns,1899-12-30 02:00:00,29264,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,11,43.7,45.9
2023,1,6,dilluns,1899-12-30 03:00:00,3462,"41,404484",Sagrada Familia,6756,"2,174691",91.4,2,46.5,48.4
2023,1,6,dilluns,1899-12-30 03:00:00,6145,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,3,43.7,48.4
2023,1,6,dilluns,1899-12-30 03:00:00,6147,"41,404484",Sagrada Familia,6756,"2,174691",91.4,3,46.5,49.2
2023,1,6,dilluns,1899-12-30 03:00:00,29267,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,11,43.7,46.5
2023,1,6,dilluns,1899-12-30 03:00:00,29268,"41,404484",Sagrada Familia,6756,"2,174691",91.4,11,46.5,50.8
2023,1,6,dilluns,1899-12-30 03:00:00,29270,"41,406",Plaça de Joanic,7306,"2,162636",90.8,11,53.1,56.2
2023,1,6,dilluns,1899-12-30 04:00:00,3466,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,2,60.1,61.9
2023,1,6,dilluns,1899-12-30 04:00:00,3468,"41,404484",Sagrada Familia,6756,"2,174691",91.4,2,46.5,48.6
2023,1,6,dilluns,1899-12-30 04:00:00,6149,"41,406",Plaça de Joanic,7306,"2,162636",90.8,3,53.1,55.2
2023,1,6,dilluns,1899-12-30 04:00:00,6151,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,3,60.1,62.3
2023,1,6,dilluns,1899-12-30 04:00:00,6152,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,3,43.7,45.8
2023,1,6,dilluns,1899-12-30 04:00:00,29271,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,11,60.1,61.3
2023,1,6,dilluns,1899-12-30 04:00:00,29272,"41,404484",Sagrada Familia,6756,"2,174691",91.4,11,46.5,49.5
2023,1,6,dilluns,1899-12-30 04:00:00,29274,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,11,43.7,45
2023,1,6,dilluns,1899-12-30 05:00:00,3472,"41,404484",Sagrada Familia,6756,"2,174691",91.4,2,46.5,50.7
2023,1,6,dilluns,1899-12-30 05:00:00,29275,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,11,43.7,47
2023,1,6,dilluns,1899-12-30 05:00:00,29278,"41,404484",Sagrada Familia,6756,"2,174691",91.4,11,46.5,50
2023,1,6,dimarts,1899-12-30 02:00:00,14683,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,6,43.7,48.8
2023,1,6,dimarts,1899-12-30 03:00:00,14686,"41,404484",Sagrada Familia,6756,"2,174691",91.4,6,46.5,49.3
2023,1,6,dimarts,1899-12-30 03:00:00,14688,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,6,43.7,47.3
2023,1,6,dimarts,1899-12-30 04:00:00,14690,"41,404484",Sagrada Familia,6756,"2,174691",91.4,6,46.5,47.4
2023,1,6,dimarts,1899-12-30 04:00:00,14692,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,6,60.1,62.8
2023,1,6,dimecres,1899-12-30 03:00:00,23437,"41,404484",Sagrada Familia,6756,"2,174691",91.4,9,46.5,50.7
2023,1,6,dimecres,1899-12-30 03:00:00,23439,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,9,43.7,48.7
2023,1,6,dimecres,1899-12-30 04:00:00,31664,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,12,60.1,62.4
2023,1,6,dimecres,1899-12-30 05:00:00,31665,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,12,43.7,47.2
2023,1,6,dimecres,1899-12-30 05:00:00,31667,"41,404484",Sagrada Familia,6756,"2,174691",91.4,12,46.5,49.9
2023,1,6,divendres,1899-12-30 03:00:00,493,"41,404484",Sagrada Familia,6756,"2,174691",91.4,1,46.5,50.7
2023,1,6,divendres,1899-12-30 04:00:00,497,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,1,43.7,46.2
2023,1,6,divendres,1899-12-30 04:00:00,498,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,1,60.1,62.3
2023,1,6,divendres,1899-12-30 04:00:00,500,"41,404484",Sagrada Familia,6756,"2,174691",91.4,1,46.5,50.8
2023,1,6,divendres,1899-12-30 04:00:00,26296,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,10,60.1,62.7
2023,1,6,divendres,1899-12-30 04:00:00,26299,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,10,43.7,47.4
2023,1,6,divendres,1899-12-30 05:00:00,501,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,1,43.7,46.6
2023,1,6,divendres,1899-12-30 05:00:00,502,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,1,60.1,61.9
2023,1,6,divendres,1899-12-30 06:00:00,505,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,1,43.7,47.5
2023,1,7,dijous,1899-12-30 03:00:00,23534,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,9,60.1,62.1
2023,1,7,dijous,1899-12-30 03:00:00,31734,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,12,43.7,48.4
